GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
"Публикуем СРЕДНЮЮ цену по брендам. Бренды — внутренняя кухня. Пользователь видит: «Süd 2.5%, 1L — 2.59₼» без бренда.",,,,,,,,,,,,,,,,,,,,,,,,,,
№,Кат.,Продукт (RU),Məhsul (AZ),Вид,Ед.,П,Бренд 1 (Wolt),Бренд 1 (Wolt) url,Бренд 1 (Bravo),Бренд 1 (Bravo) url,Бренд 1 (Neptun),Бренд 1 (Neptun) url,Бренд 2 (Wolt),Бренд 2 (Wolt) url,Бренд 2 (Bravo),Бренд 2 (Bravo) url,Бренд 2 (Neptun),Бренд 2 (Neptun) url,Бренд 3 (Wolt),Бренд 3 (Wolt) url,Бренд 3 (Bravo),Бренд 3 (Bravo) url,Бренд 3 (Neptun),Бренд 3 (Neptun) url,Источник,Правило замены
11,🥛 Молочные,Сгущёнка,Qatılaşdırılmış süd,С сахаром,370 г,🟢,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/qustiyar-ruslada-sekerli-8-5-qatilasdirilmis-sud-370q-itemid-e286faf330d384efc12d2b96?search=Qat%C4%B1la%C5%9Fd%C4%B1r%C4%B1lm%C4%B1%C5%9F+s%C3%BCd,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/russkiy-qost-qatilasdirilmis-sud-370q,Qustiyar Ruslada Şəkərli 8.5% Qatılaşdırılmış Süd 370q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ruslada-qatilasdirilmis-sud-8-5-370-qr-itemid-bd34582588b6359d84f89519?search=Qat%C4%B1la%C5%9Fd%C4%B1r%C4%B1lm%C4%B1%C5%9F+s%C3%BCd,—,,,,,,—,,,,,,Wolt Market,Поручить
12,🥛 Молочные,Сливки,Qaymaq,26%,200 q,🟢,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/azersud-qaymaq-200q-itemid-6262498152f6ddc8877e0877?search=qaymaq,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/azersud-qaymaq-200qr-itemid-182231908d2d3f15162ba915?search=qaymaq,Azərsüd Qaymaq 200q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azer-sud-qaymaq-26-200-qr-itemid-8afb04d99fcfbbfe5ed8a47f?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-qaymaq-26-200q-itemid-6583ff1fa67f37ebe6b04fc6?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/milla-qaymaq-26-200qr-itemid-5c1aa83679715e0970d5d0c5?search=qaymaq,Milla Qaymaq 26% 200q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/milla-qaymaq-200-qr-itemid-faecd9f049de14e9a71c9e19?search=qaymaq,—,,,,,,Wolt Market,Поручить: Xama və Qaymaq
13,🥛 Молочные,Плавленый сыр,Əriyən pendir,,400 г,🟢,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/hochland-pendir-400q-itemid-627512d829e7ba8316d273b2?search=Hochland,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/hochland-pendiri-fatty-400qr-itemid-35a2a4d5745a5f58e07884d7?search=Hochland,Hochland Pendir 400q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/hochland-400-qr-pendir-qaymaqli-plastik-qabda-itemid-2f8fb1b44e6c92f7b2fca553?search=Hochland,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/viola-eridilmis-pendir-400q-itemid-625e7121de5118ebeeaf4142,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/viola-eridilmis-pendir-400qr-itemid-3590f988906dcc76514db051,Viola Əridilmiş Pendir 400q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/viola-400-qr-eridilmis-pendir-qaymaqli-plastik-qabda-itemid-b513cbf3751c4a52a57265e4?search=viola,—,,,,,,Wolt Market,Поручить
14,🥛 Молочные,Йогурт питьевой,İçməli yoqurt,Фруктовый,270 мл,🟢,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-yoqurt-icmeli-gilemeyve-270ml-itemid-63976d638d6c90e366944c03?search=yogurt,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/itemid-f881eab4a6d3dadbd6fca690?search=yogurt+milla,Milla Yoqurt İçməli Giləmeyvə 270ml,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/milla-270-ml-icmeli-yoqurt-gilemeyve-plastik-qabda-itemid-f758122bf9d1ec7564cedbda?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/alpenland-icmeli-yoqurt-saftali-marakuya-1-2-290q-itemid-67d18228f5a00f0fb1b135ad?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/alpenland-yoqurt-saftali-marakuya-290qr-itemid-43c0513f1ee6c7804eaa990a?search=yogurt,Alpenland İçməli Yoqurt Şaftalı-Marakuya 1.2% 290q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/alpenland-yoqurt-1-2-saftali-marakuya-290-qr-itemid-615858416e4e4ff57d2c57f4?search=yogurt+alpen,—,,,,,,Wolt Market,
15,🍞 Хлеб,Батон белый,Ağ çörək,Нарезной,400 г,🔴,No1 Çörək Zavodu Xüsusi Baton 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/no1-corek-zavodu-xususi-baton-400q-itemid-679747c0c59beb1eed193e22?search=%C3%A7%C3%B6r%C9%99k,No1 Çörək Zavodu Xüsusi Baton 400q,https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/n1-xususi-baton-400qr-itemid-02e57eae51ee2b5fc4883152?search=%C3%A7%C3%B6r%C9%99k,No1 Çörək Zavodu Xüsusi Baton 400q,,Bravo çörək,,,,,,—,,,,,,Wolt Market + Bravo,Хлеб без бренда. Парсим из 2 магазинов → средняя
16,🍞 Хлеб,Лаваш,Lavaş,Тонкий,1 шт,🔴,Wolt Market Lavaş,,,,,,Bravo Lavaş,,,,,,—,,,,,,Wolt Market + Bravo,Без бренда. 2 источника → средняя
17,🍞 Хлеб,Тендир,Təndir çörəyi,Тандырный,1 шт,🟡,товар не представлен,,Face Təndir Çörəyi Orta,https://wolt.com/ru/aze/baku/venue/market11/gence-tendir-kicik-yumru-ag-itemid-8e3203e882e9ac5db44d9c5e?search=t%C9%99ndir,Gəncə Təndir Kiçik Yumru Ağ,https://wolt.com/ru/aze/baku/venue/market11/gence-tendir-kicik-yumru-ag-itemid-8e3203e882e9ac5db44d9c5e?search=t%C9%99ndir,—,,,,,,—,,,,,,Wolt Market,
18,🍞 Хлеб,Ржаной,Qara çörək,Нарезной,400 г,🟢,No1 Çörək Zavodu Borodin Çörəyi 400q,https://wolt.com/ru/aze/baku/venue/wolt-market-yasamal/no1-corek-zavodu-borodin-coreyi-400q-itemid-6426b5cad6ef8edc2b2a2e4b,"N1 Borodin Çörək 400qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-azure/n1-borodin-corek-400qr-itemid-bfe215faad78c05406445d32,N1 Zavod 400 qr Borodin Çörəyi,https://wolt.com/ru/aze/baku/venue/market11/n1-zavod-400-qr-borodin-coreyi-itemid-4220cebee69bdfb31ff7b88a,İvanovka Borodino Çovdar Çörəyi 600q,https://wolt.com/ru/aze/baku/venue/wolt-market-yasamal/ivanovka-borodino-covdar-coreyi-600q-itemid-67ab3398a6e65e5d5dcb2562,Ivanovka Borodin Çovdar Çörəyi 600qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-azure/ivanovka-borodin-covdar-coreyi-600qr-itemid-aead5d3cc4a64ab8393886cc,Çörək İvanovka 600 qr Borodinskiy,https://wolt.com/ru/aze/baku/venue/market11/corek-ivanovka-600-qr-borodinskiy-itemid-760fcbd0f469fcb9f85d8e8d,—,,,,,,Wolt Market,Поручить
19,🍞 Хлеб,Юха,Yuxa,Для кутабов,1 шт,🟡,Wolt Market Yuxa,,,,,,—,,,,,,—,,,,,,Wolt Market,
20,🍞 Хлеб,Багет,Baget,Французский,1 шт,🟢,Wolt Market Baget,,,,,,—,,,,,,—,,,,,,Wolt Market,
21,🍞 Хлеб,Хлебцы,Qaleta,,100 г,🟢,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/xlebtsi-molodsi-covdarli-100q-itemid-329cd2955b945cd93919fc7d,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/xlebtsi-molodtsi-covdarli-100qr-itemid-37a7226ef91aa9d95dcbd44f,Xlebtsi Molodsi Çovdarlı 100q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/xlebsi-molodci-covdar-100-qr-itemid-e4151151fe30f3fc57ce2132,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/dr-korner-qargidali-ve-duyu-karamelli-xlebtsi-90q-itemid-6718448026b216c86553dae8,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/drkorner-xlebci-qargidali-ve-duyulu-karamel-90g-itemid-de4842a2c224bd418626d0db,Dr. Körner Qarğıdalı və Düyü Karamelli Xlebtsi 90q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/dr-korner-qargidali-ve-duyu-karamelli-xlebtsi-90q-itemid-5749cbbfa62068a63ec2793f,—,,,,,,Wolt Market,Поручить
22,🌾 Крупы,Рис,Düyü,Длиннозёрный,1 кг,🔴,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/sultan-basmati-duyusu-1kq-itemid-2b2fc87fb3d3051b3e5bb1c7,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/sultan-basmati-duyu-1kq-itemid-5d86a908d72026a7a6a9daec,Sultan Basmati Düyüsü 1kq,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/sultan-basmati-duyu-1-kq-itemid-f0bdf4f995fa1ee75d47b913,"Richmond Uzun Düyü 800q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-uzun-duyu-800q-itemid-4d71c79fbbe41a3be4a4939f,Richmond Uzun Düyü 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-uzun-duyu-800-g-itemid-83c5d957f9c65dfde653be96,Richmond Uzun Düyü 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/richmond-duyu-uzun-800-qr-itemid-3a0f16e6d17abdad4a67672e,—,,,,,,Wolt Market + Bravo,Без бренда. 2 источника → средняя
23,🌾 Крупы,Гречка,Qarabaşaq,Ядрица,800 г ,🟡,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/richmond-qarabasaq-800q-itemid-0b49ad530bc2bcfc769fdd8b,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-qarabasaq-800qr-itemid-6e3cdd371f400ae4ac90e426,Richmond Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/richmond-qarabasaq-800-qr-itemid-dce569d91bcb14031948523c,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/ankara-qarabasaq-800q-itemid-d61e37b17959e6e7c397b5e3,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-qarabashaq-800qr-itemid-8f7c47457b07fb6437c2e135,Ankara Qarabaşaq 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ankara-800-qr-qarabasaq-paket-itemid-f17fc0aa272d000c7225053b,—,,,,,,Wolt Market,
24,🌾 Крупы,Булгур,Bulqur,Крупный,800 г ,🟡,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ankara-bulqur-as-ucun-800q-itemid-a0380ed348b8b95516d6d256,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-sehriyeli-bulqur-800qr-itemid-d128ac7a2e7142906d6aec05,Ankara Bulqur Aş Üçün 800q,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/ankara-800-qr-bulgur-paket-itemid-ac5aaafc8549b9b8560fe432,—,,,,,,—,,,,,,Wolt Market,
25,🌾 Крупы,Овсянка,Yulaf,Геркулес,420 г,🟡,Russkiy Produkt Hercules Ənənəvi Yulaf Lopaları 420q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/russkiy-produkt-hercules-enenevi-yulaf-lopalari-420q-itemid-679747c0c59beb1eed1938fa,Russkiy Produkt Ənənəvi Yulaf Lopaları 420qr Qutu,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/russkiy-produkt-enenevi-yulaf-lopalari-420qr-qutu-itemid-41aad6adecf29ba16ada43c9,Russkiy Produkt Ənənəvi Yulaf Lopaları 420qr Qutu,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/russkiy-produkt-qerkules-enenevi-qutu-420-qr-itemid-c91a0ec92d3c799d1c0d18ee,—,,,,,,—,,,,,,Wolt Market,Поручить: Səhər Yeməyi
26,🌾 Крупы,Манка,Manka,Манная,800 г,🟢,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ankara-manna-yarmasi-800q-itemid-679747c0c59beb1eed19409c,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/ankara-manna-yarmasi-800qr-itemid-75adf266f33db06932933d3f,Ankara Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/market11/ankara-800-qr-manni-paket-itemid-0790c33fa5503b881adb95ad,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/tsar-manna-yarmasi-800q-itemid-679747c0c59beb1eed194084,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/tsar-manna-800qr-itemid-4ab33afea6ffea84196354a0,Tsar Manna Yarması 800q,https://wolt.com/ru/aze/baku/venue/market11/car-800-qr-manna-yarmasi-paket-itemid-68a08227bd54075b8d7be967,—,,,,,,Wolt Market,Поручить
27,🌾 Крупы,Пшено,Darı,Шлифованное,500 г,🟢,—,,Richmond Buğda Yarmasi 800 G,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-babek-pr-ti-2004/richmond-bugda-yarmasi-800-g-itemid-13827f8772e2419c4fd915e9,Richmond Buğda Yarmasi 800 G,https://wolt.com/ru/aze/baku/venue/market11/richmond-bugda-yarmasi-paket-800-qr-itemid-8f8e407a8022621d540eb44d,—,,,,,,—,,,,,,Wolt Market,Поручить
28,🌾 Крупы,Перловка,Arpa yarması,Перловая,500 г,🟢,—,,,,,,—,,,,,,—,,,,,,Wolt Market,Поручить
